National Park,Location,Region,Year Est. as a NP,Visitors in January,Visitors in February,Visitors in March,Visitors in April,Visitors in May,Visitors in June,Visitors in July,Visitors in August,Visitors in September,Visitors in October,Visitors in November,Visitors in December ,Total Visitors in 2022,Hiking Trails,Acreage 
Bryce Canyon,Utah,Southwest,1928,30960,35611,101308,236812,299919,330108,318861,308545,336588,233647,75378,46923,2354660,32,35835
Canyonlands,Utah,Southwest,1964,15184,19077,77834,99206,114926,87086,67640,63092,86326,91788,40745,16243,779147,69,337597
Capitol Reef,Utah,Southwest,1937,20089,25859,90092,128061,221889,165870,107562,118927,130243,140119,57972,20925,1227608,42,241904
Zion,Utah,Southwest,1919,139827,168499,446308,491625,539172,569975,548636,437134,423654,459697,291044,176846,4692417,97,146597
Shenandoah,Virginia,Southeast,1935,13592,34383,56623,115883,135836,165442,184485,164375,145704,298672,114473,19832,1449300,261,197439
Mount Rainier,Washington,Northwest,1899,23623,20785,19466,20282,62286,183253,392691,415544,295701,152168,21823,14773,1622395,153,236381
North Cascades,Washington,Northwest,1968,11,4,52,66,993,1324,5493,10832,8745,2590,44,0,30154,34,504781
Olympic,Washington,Northwest,1938,65553,76509,112250,92420,133313,224731,432022,634516,322881,151732,107847,79198,2432972,169,922650
Grand Teton,Wyoming,West North Central,1929,59920,62198,66862,67541,235020,497531,558710,539171,441995,196727,33348,47200,2806223,103,309994
Yellowstone,Wyoming,West North Central,1872,46615,47300,35593,80283,523680,525363,596562,582211,567587,236567,17687,30794,3290242,233,2219790
New River Gorge,West Virginia ,Southeast,1978,31656,39219,69767,117824,174882,203538,273494,215254,180086,168930,79143,39730,1593523,57,70000
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Stats Report Viewer (nps.gov),,,,,,,,,,,,,,,,,,
Stats Report Viewer (nps.gov),,,,,,,,,,,,,,,,,,
